only_variant,project_name,file_path,mode,leak_count,full_leak_count,partial_leak_count,cascade_leak_count,present_full,present_vanguard_lite
vanguard-lite,0xShiiro_ZK-learnings,0xShiiro_ZK-learnings\multiply.circom,main,3,0,3,0,True,True
vanguard-lite,0xgeorgemathew_rip-contracts,0xgeorgemathew_rip-contracts\circuits\priceProtection.circom,main,6,0,6,0,True,True
vanguard-lite,2281469043_zkKYC_and_zkCBPR,2281469043_zkKYC_and_zkCBPR\Circuits\zkMerkleTree\Verifier.circom,main,2,0,2,0,True,True
vanguard-lite,2dvorak_zk-jwt-poc,2dvorak_zk-jwt-poc\circuits\jwt.circom,main,5,0,5,0,True,True
vanguard-lite,AkshatGada_circom-lib,AkshatGada_circom-lib\circuits\Multiplier.circom,main,2,0,2,0,True,True
vanguard-lite,AkshatGada_circom-lib,AkshatGada_circom-lib\circuits\Pubkey.circom,main,1,0,1,0,True,True
vanguard-lite,Alchemist21_pecunia,Alchemist21_pecunia\zk\circuit3\circuits\sha256\main.circom,main,1,0,1,0,True,True
vanguard-lite,AliIbrahimMohammed_ZKP_solidity,AliIbrahimMohammed_ZKP_solidity\circuits\VaultProof.circom,main,1,0,1,0,True,True
vanguard-lite,AmbitionCX_circomViz,AmbitionCX_circomViz\Backend\src\examples\XOR.circom,main,2,0,2,0,True,True
vanguard-lite,AmbitionCX_circomViz,AmbitionCX_circomViz\Backend\src\examples\twobitsmultiplier.circom,main,4,0,4,0,True,True
vanguard-lite,Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\Compiler-Verification\benchmarks\tests\Array.circom,main,1,0,1,0,True,True
vanguard-lite,BigWhaleLabs_seal-hub-verifier-template,BigWhaleLabs_seal-hub-verifier-template\circuits\NullifierCreator.circom,main,5,0,5,0,True,True
vanguard-lite,CGuthmann_Infrachain_ZeroKnowledge,CGuthmann_Infrachain_ZeroKnowledge\circuits\circuit_total.circom,main,2,0,2,0,True,True
vanguard-lite,CleanPegasus_zero-knowledge-puzzles,CleanPegasus_zero-knowledge-puzzles\BitwiseAND\BitwiseAND.circom,main,1,0,1,0,True,True
vanguard-lite,CleanPegasus_zero-knowledge-puzzles,CleanPegasus_zero-knowledge-puzzles\BitwiseOR\BitwiseOR.circom,main,1,0,1,0,True,True
vanguard-lite,CleanPegasus_zero-knowledge-puzzles,CleanPegasus_zero-knowledge-puzzles\BitwiseXOR\BitwiseXOR.circom,main,1,0,1,0,True,True
vanguard-lite,CleanPegasus_zero-knowledge-puzzles,CleanPegasus_zero-knowledge-puzzles\IntDivOut\IntDivOut.circom,main,2,0,2,0,True,True
vanguard-lite,CleanPegasus_zero-knowledge-puzzles,CleanPegasus_zero-knowledge-puzzles\IsSorted\IsSorted.circom,main,1,0,1,0,True,True
vanguard-lite,CleanPegasus_zero-knowledge-puzzles,CleanPegasus_zero-knowledge-puzzles\Power\pow.circom,main,1,0,1,0,True,True
vanguard-lite,Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\1.circom,main,2,0,2,0,True,True
vanguard-lite,Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\19.circom,main,2,0,2,0,True,True
vanguard-lite,Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\2.circom,main,2,0,2,0,True,True
vanguard-lite,Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\20.circom,main,2,0,2,0,True,True
vanguard-lite,Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\21.circom,main,2,0,2,0,True,True
vanguard-lite,Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\22.circom,main,2,0,2,0,True,True
vanguard-lite,Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\23.circom,main,2,0,2,0,True,True
vanguard-lite,Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\24.circom,main,2,0,2,0,True,True
vanguard-lite,Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\25.circom,main,2,0,2,0,True,True
vanguard-lite,Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\26.circom,main,2,0,2,0,True,True
vanguard-lite,Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\27.circom,main,2,0,2,0,True,True
vanguard-lite,Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\5.circom,main,2,0,2,0,True,True
vanguard-lite,DND-Dynamite_L-ZKP,DND-Dynamite_L-ZKP\ZKP_web-app\ZKP\mult.circom,main,2,0,2,0,True,True
vanguard-lite,Daniel-Szego_Zeroknowledgeworkshop,Daniel-Szego_Zeroknowledgeworkshop\3_rollup\transaction.circom,main,2,0,2,0,True,True
vanguard-lite,DebRC_Vortex,DebRC_Vortex\vortex\circuits\zk_circuit_0.circom,main,2,0,2,0,True,True
vanguard-lite,Edward-959_zero-knowledge-puzzles-answer,Edward-959_zero-knowledge-puzzles-answer\Equality\Equality.circom,main,1,0,1,0,True,True
vanguard-lite,Edward-959_zero-knowledge-puzzles-answer,Edward-959_zero-knowledge-puzzles-answer\NotEqual\NotEqual.circom,main,1,0,1,0,True,True
vanguard-lite,Edward-959_zero-knowledge-puzzles-answer,Edward-959_zero-knowledge-puzzles-answer\Power\pow.circom,main,1,0,1,0,True,True
vanguard-lite,Edward-959_zero-knowledge-puzzles-answer,Edward-959_zero-knowledge-puzzles-answer\QuadraticEquation\QuadraticEquation.circom,main,5,0,5,0,True,True
vanguard-lite,Edward-959_zero-knowledge-puzzles-answer,Edward-959_zero-knowledge-puzzles-answer\Range\Range.circom,main,3,0,3,0,True,True
vanguard-lite,Edward-959_zero-knowledge-puzzles-answer,Edward-959_zero-knowledge-puzzles-answer\multiply.circom,main,2,0,2,0,True,True
vanguard-lite,GigameshGarages_ReefNet,GigameshGarages_ReefNet\reefApps\circuits\Switcher.circom,main,3,0,3,0,True,True
vanguard-lite,Kartikvyas1604_SafeMask,Kartikvyas1604_SafeMask\circuits\balance_threshold.circom,main,2,0,2,0,True,True
vanguard-lite,Kartikvyas1604_TrustNet,Kartikvyas1604_TrustNet\circuits\amount_commitment.circom,main,2,0,2,0,True,True
vanguard-lite,Lukman-01_RareSkills-Puzzles,Lukman-01_RareSkills-Puzzles\zero-knowledge-puzzles\Equality\Equality.circom,main,1,0,1,0,True,True
vanguard-lite,Lukman-01_RareSkills-Puzzles,Lukman-01_RareSkills-Puzzles\zero-knowledge-puzzles\NotEqual\NotEqual.circom,main,1,0,1,0,True,True
vanguard-lite,Lukman-01_RareSkills-Puzzles,Lukman-01_RareSkills-Puzzles\zero-knowledge-puzzles\QuadraticEquation\QuadraticEquation.circom,main,5,0,5,0,True,True
vanguard-lite,Lukman-01_RareSkills-Puzzles,Lukman-01_RareSkills-Puzzles\zero-knowledge-puzzles\Range\Range.circom,main,3,0,3,0,True,True
vanguard-lite,MAKMED1337_ZKP-circom,MAKMED1337_ZKP-circom\problem1\main.circom,main,2,0,2,0,True,True
vanguard-lite,MultiplicityFoundation_Lambda-Proof,MultiplicityFoundation_Lambda-Proof\circuits\lib\MillerRabin.circom,main,1,0,1,0,True,True
vanguard-lite,NameIsGabe_Alexa-s-Sudoku,NameIsGabe_Alexa-s-Sudoku\Sudoku.circom,main,2,0,2,0,True,True
vanguard-lite,OwshenNetwork_bermuda,OwshenNetwork_bermuda\circuits\proof_of_burn_circuits\mpt_path.circom,main,1,0,1,0,True,True
vanguard-lite,Pain351_ZKneP,Pain351_ZKneP\circuits\balance_verification.circom,main,6,0,6,0,True,True
vanguard-lite,Pain351_ZKneP,Pain351_ZKneP\circuits\client_balance_comparison.circom,main,4,0,4,0,True,True
vanguard-lite,Pain351_ZKneP,Pain351_ZKneP\circuits\compliance_verification.circom,main,9,0,9,0,True,True
vanguard-lite,Pain351_ZKneP,Pain351_ZKneP\circuits\network_data_validation.circom,main,7,0,7,0,True,True
