project_name,file_path,mode,present_full,success_full,leak_full,full_leak_full,partial_leak_full,cascade_leak_full,present_no_unroll_aggressive,success_no_unroll_aggressive,leak_no_unroll_aggressive,full_leak_no_unroll_aggressive,partial_leak_no_unroll_aggressive,cascade_leak_no_unroll_aggressive,difference_reason,task4_category
2dvorak_zk-jwt-poc,2dvorak_zk-jwt-poc\circuits\jwt.circom,main,True,True,0,0,0,0,True,True,5,5,0,0,leak_count_mismatch,n/a
AkshatGada_circom-lib,AkshatGada_circom-lib\circuits\Pubkey.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\Compiler-Verification\benchmarks\utils\MultiAND@gates.circom,main,True,False,0,0,0,0,True,True,0,0,0,0,success_mismatch,n/a
CleanPegasus_zero-knowledge-puzzles,CleanPegasus_zero-knowledge-puzzles\Power\pow.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
Galactica-corp_galactica-monorepo,Galactica-corp_galactica-monorepo\packages\zk-certificates\circuits\mains\mimcEnDecrypt.main.circom,main,True,True,2,2,0,1,True,True,0,0,0,0,leak_count_mismatch,n/a
LesterEvSe_Cryptography-Signature-algorithms,LesterEvSe_Cryptography-Signature-algorithms\Circom\ecdsa\m.circom,main,True,False,0,0,0,0,True,True,0,0,0,0,success_mismatch,n/a
MultiplicityFoundation_Lambda-Proof,MultiplicityFoundation_Lambda-Proof\circuits\lib\MillerRabin.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
Punith-KK_Kira,Punith-KK_Kira\circuits\key_generation\circuit.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
RippnerLabs_cloak-minster-ballot,RippnerLabs_cloak-minster-ballot\circom\vote\vote.circom,main,True,True,1,1,0,0,True,True,0,0,0,0,leak_count_mismatch,n/a
WasinYokk_OTC,WasinYokk_OTC\circomlib-master\test\circuits\escalarmul_min_test.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
WasinYokk_OTC,WasinYokk_OTC\circomlib-master\test\circuits\escalarmul_test.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
WasinYokk_OTC,WasinYokk_OTC\circomlib-master\test\circuits\escalarmul_test_min.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
WasinYokk_OTC,WasinYokk_OTC\circomlib-master\test\circuits\escalarmulany_test.circom,main,True,True,1,0,1,0,True,True,0,0,0,0,leak_count_mismatch,n/a
WasinYokk_OTC,WasinYokk_OTC\circomlib-master\test\circuits\escalarmulfix_test.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
WasinYokk_OTC,WasinYokk_OTC\circomlib-master\test\circuits\mux1_1.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
WasinYokk_OTC,WasinYokk_OTC\circomlib-master\test\circuits\mux2_1.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
WasinYokk_OTC,WasinYokk_OTC\circomlib-master\test\circuits\mux3_1.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
WasinYokk_OTC,WasinYokk_OTC\circomlib-master\test\circuits\mux4_1.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
