project_name,file_path,mode,present_full,success_full,leak_full,full_leak_full,partial_leak_full,cascade_leak_full,present_no_unroll_conservative,success_no_unroll_conservative,leak_no_unroll_conservative,full_leak_no_unroll_conservative,partial_leak_no_unroll_conservative,cascade_leak_no_unroll_conservative,difference_reason,task4_category
0xc0de42_zk-sandbox,0xc0de42_zk-sandbox\public\circuits\square_root\square_root.circom,main,True,True,1,1,0,0,True,True,0,0,0,0,leak_count_mismatch,n/a
ABaaaC_zkKaggle,ABaaaC_zkKaggle\test\circuits\MaxPool2D_ks3_test.circom,main,True,True,1,1,0,0,True,True,0,0,0,0,leak_count_mismatch,n/a
ABaaaC_zkKaggle,ABaaaC_zkKaggle\test\circuits\MaxPool2D_test.circom,main,True,True,1,1,0,0,True,True,0,0,0,0,leak_count_mismatch,n/a
Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\Compiler-Verification\benchmarks\case.circom,main,True,True,1,1,0,0,True,True,0,0,0,0,leak_count_mismatch,n/a
Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\Compiler-Verification\benchmarks\tests\Array_Func.circom,main,True,True,2,2,0,0,True,True,0,0,0,0,leak_count_mismatch,n/a
Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\Compiler-Verification\benchmarks\tests\Com.circom,main,True,True,1,1,0,0,True,True,0,0,0,0,leak_count_mismatch,n/a
Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\Compiler-Verification\benchmarks\tests\Com_Arg.circom,main,True,True,2,2,0,1,True,True,0,0,0,0,leak_count_mismatch,n/a
Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\Compiler-Verification\benchmarks\tests\Com_Func.circom,main,True,True,1,1,0,0,True,True,0,0,0,0,leak_count_mismatch,n/a
Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\Compiler-Verification\benchmarks\tests\Com_Loop_Func.circom,main,True,True,1,1,0,0,True,True,0,0,0,0,leak_count_mismatch,n/a
Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\Compiler-Verification\benchmarks\tests\IF_Com_Func.circom,main,True,True,1,1,0,0,True,True,0,0,0,0,leak_count_mismatch,n/a
Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\Compiler-Verification\benchmarks\utils\MultiAND@gates.circom,main,True,False,0,0,0,0,True,True,0,0,0,0,success_mismatch,n/a
Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\compiler-testing\cases\3\temp1.circom,main,True,True,1,1,0,0,True,True,0,0,0,0,leak_count_mismatch,n/a
Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\compiler-testing\cases\3\temp2.circom,main,True,True,1,1,0,0,True,True,0,0,0,0,leak_count_mismatch,n/a
CleanPegasus_zero-knowledge-puzzles,CleanPegasus_zero-knowledge-puzzles\StatefulComputation\StatefulComputation.circom,main,True,True,1,1,0,1,True,True,1,1,0,0,leak_count_mismatch,n/a
Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\9.circom,main,True,True,1,1,0,0,True,True,0,0,0,0,leak_count_mismatch,n/a
Galactica-corp_galactica-monorepo,Galactica-corp_galactica-monorepo\packages\zk-certificates\circuits\mains\mimcEnDecrypt.main.circom,main,True,True,2,2,0,1,True,True,0,0,0,0,leak_count_mismatch,n/a
LesterEvSe_Cryptography-Signature-algorithms,LesterEvSe_Cryptography-Signature-algorithms\Circom\ecdsa\m.circom,main,True,False,0,0,0,0,True,True,0,0,0,0,success_mismatch,n/a
RippnerLabs_cloak-minster-ballot,RippnerLabs_cloak-minster-ballot\circom\vote\vote.circom,main,True,True,1,1,0,0,True,True,0,0,0,0,leak_count_mismatch,n/a
WasinYokk_OTC,WasinYokk_OTC\circomlib-master\test\circuits\escalarmulany_test.circom,main,True,True,1,0,1,0,True,True,0,0,0,0,leak_count_mismatch,n/a
WasinYokk_OTC,WasinYokk_OTC\circomlib-master\test\circuits\smtprocessor10_test.circom,main,True,False,0,0,0,0,True,True,0,0,0,0,success_mismatch,n/a
WasinYokk_OTC,WasinYokk_OTC\circomlib-master\test\circuits\smtverifier10_test.circom,main,True,False,0,0,0,0,True,True,0,0,0,0,success_mismatch,n/a
