only_variant,project_name,file_path,mode,leak_count,full_leak_count,partial_leak_count,cascade_leak_count,present_full,present_no_unroll_conservative
full,0xc0de42_zk-sandbox,0xc0de42_zk-sandbox\public\circuits\square_root\square_root.circom,main,1,1,0,0,True,True
full,ABaaaC_zkKaggle,ABaaaC_zkKaggle\test\circuits\MaxPool2D_ks3_test.circom,main,1,1,0,0,True,True
full,ABaaaC_zkKaggle,ABaaaC_zkKaggle\test\circuits\MaxPool2D_test.circom,main,1,1,0,0,True,True
full,Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\Compiler-Verification\benchmarks\case.circom,main,1,1,0,0,True,True
full,Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\Compiler-Verification\benchmarks\tests\Array_Func.circom,main,2,2,0,0,True,True
full,Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\Compiler-Verification\benchmarks\tests\Com.circom,main,1,1,0,0,True,True
full,Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\Compiler-Verification\benchmarks\tests\Com_Arg.circom,main,2,2,0,1,True,True
full,Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\Compiler-Verification\benchmarks\tests\Com_Func.circom,main,1,1,0,0,True,True
full,Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\Compiler-Verification\benchmarks\tests\Com_Loop_Func.circom,main,1,1,0,0,True,True
full,Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\Compiler-Verification\benchmarks\tests\IF_Com_Func.circom,main,1,1,0,0,True,True
full,Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\compiler-testing\cases\3\temp1.circom,main,1,1,0,0,True,True
full,Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\compiler-testing\cases\3\temp2.circom,main,1,1,0,0,True,True
full,Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\9.circom,main,1,1,0,0,True,True
full,Galactica-corp_galactica-monorepo,Galactica-corp_galactica-monorepo\packages\zk-certificates\circuits\mains\mimcEnDecrypt.main.circom,main,2,2,0,1,True,True
full,RippnerLabs_cloak-minster-ballot,RippnerLabs_cloak-minster-ballot\circom\vote\vote.circom,main,1,1,0,0,True,True
full,WasinYokk_OTC,WasinYokk_OTC\circomlib-master\test\circuits\escalarmulany_test.circom,main,1,0,1,0,True,True
full,agnij-dutta_sigil,agnij-dutta_sigil\web3\circuits\core\primitives\signature_verify.circom,main,1,0,1,0,True,True
full,alexbabits_circom-puzzles,alexbabits_circom-puzzles\IntSqrtOut\IntSqrtOut.circom,main,1,1,0,0,True,True
no-unroll-conservative,alexbabits_circom-puzzles,alexbabits_circom-puzzles\MultiAND\MultiAND.circom,main,1,1,0,0,True,True
no-unroll-conservative,alexbabits_circom-puzzles,alexbabits_circom-puzzles\MultiOR\MultiOR.circom,main,1,1,0,0,True,True
full,costa-group_circom_tests,costa-group_circom_tests\circomlib_original_2.0\test\escalarmulany_test\escalarmulany_test.circom,main,1,0,1,0,True,True
full,costa-group_circom_tests,costa-group_circom_tests\detecting_last_assignment\known_last\known_last_assignment_1_mixed\known_last_assignment_1_mixed.circom,main,1,1,0,0,True,True
full,costa-group_circom_tests,costa-group_circom_tests\detecting_last_assignment\known_last\known_last_assignment_1_signal_comp\known_last_assignment_1_signal_comp.circom,main,1,1,0,0,True,True
full,costa-group_circom_tests,costa-group_circom_tests\detecting_last_assignment\known_last_if\if_known_last_assignment_1_mixed\if_known_last_assignment_1_mixed.circom,main,1,1,0,0,True,True
full,costa-group_circom_tests,costa-group_circom_tests\detecting_last_assignment\known_last_if\if_known_last_assignment_1_signal_comp\if_known_last_assignment_1_signal_comp.circom,main,1,1,0,0,True,True
full,costa-group_circom_tests,costa-group_circom_tests\detecting_last_assignment\unknown_last_while\unknown_last_assignment_1_signal_comp\unknown_last_assignment_1_signal_comp.circom,main,1,1,0,0,True,True
full,jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\arithmetic_test.circom,main,1,1,0,0,True,True
full,jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\divrem_test.circom,main,2,2,0,0,True,True
full,jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\index_of_test.circom,main,1,1,0,0,True,True
full,jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\pad_bits_10star_test.circom,main,1,1,0,0,True,True
no-unroll-conservative,veljkovranic_shortcircuit,veljkovranic_shortcircuit\src\lib\parser\sample_circuits\recursion.circom,main,1,1,0,0,True,True
full,wyf-ACCEPT_ZK-Decision-Tree-Demo,wyf-ACCEPT_ZK-Decision-Tree-Demo\circuits\simpleDCT\simpleDCT.circom,main,1,0,1,0,True,True
